Unnamed: 0.1,Unnamed: 0,restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
0,0,#FeelTheROLL,Quick Bites,3.4,7,200,No,No,Fast Food,Bellandur,Bellandur
1,1,#L-81 Cafe,Quick Bites,3.9,48,400,Yes,No,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",HSR
2,2,#refuel,Cafe,3.7,37,400,Yes,No,"Cafe, Beverages",Bannerghatta Road,Bannerghatta Road
3,3,'@ Biryani Central,Casual Dining,2.7,135,550,Yes,No,"Biryani, Mughlai, Chinese",Marathahalli,Marathahalli
4,4,'@ The Bbq,Casual Dining,2.8,40,700,Yes,No,"BBQ, Continental, North Indian, Chinese, Beverages",Bellandur,Bellandur
5,5,'@99,"Takeaway, Delivery",3.4,37,200,No,No,"Mughlai, Biryani, Chinese, North Indian",Whitefield,Whitefield
6,6,'@Italy,Casual Dining,4.1,305,700,Yes,No,Italian,Banashankari,Kumaraswamy Layout
7,7,'@North Parontha Hut,"Takeaway, Delivery",2.8,40,300,No,No,North Indian,Indiranagar,Old Airport Road
8,8,1000 B.C,Quick Bites,3.2,49,300,Yes,No,"Arabian, Sandwich, Rolls, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
9,9,100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,3.7,41,450,No,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",BTM
10,10,11 to 11 Express Biriyanis,Quick Bites,3.5,22,300,Yes,No,"Biryani, Kebab",Electronic City,Electronic City
11,11,1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,1500,No,Yes,"Continental, Asian, Italian, North Indian",Old Airport Road,Indiranagar
12,12,12th Main - Grand Mercure,Fine Dining,4.1,353,2000,No,Yes,"European, Asian","Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block
13,13,1441 Pizzeria,Casual Dining,4.1,119,800,Yes,No,"Pizza, Salad",Basavanagudi,JP Nagar
14,14,1522 - The Pub,Pub,4.2,1731,1400,Yes,No,"Chinese, Continental, North Indian",Malleshwaram,Malleshwaram
15,15,154 Breakfast Club,Cafe,4,1509,900,Yes,Yes,"Cafe, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block
16,16,1722 Urban Bistro,Casual Dining,4.1,218,600,Yes,Yes,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
17,17,18+ Ice Cafe,Cafe,3.5,24,550,No,No,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar,Kammanahalli
18,18,1947,Casual Dining,3.9,620,1000,No,Yes,"North Indian, Chinese, Continental",Rajajinagar,Rajajinagar
19,19,1980s Games Cafe,Cafe,3.4,58,400,Yes,No,"Cafe, Fast Food",Banashankari,Basavanagudi
20,20,1992 Chats - Space,Quick Bites,3.7,33,200,Yes,No,Street Food,Malleshwaram,Rajajinagar
21,21,1Q1,"Casual Dining, Bar",4.3,595,2500,No,Yes,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road,Infantry Road
22,22,1TO3 Kitchen,Delivery,3.1,11,800,No,No,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli,Marathahalli
23,23,2 Statez,Casual Dining,3.7,209,600,Yes,No,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar,Kalyan Nagar
24,24,20 Char - Sterlings MAC Hotel,"Casual Dining, Bar",4,419,1400,Yes,Yes,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar,Old Airport Road
25,25,20 Feet High,"Casual Dining, Bar",4,932,1000,Yes,Yes,"American, Continental, Steak, Salad",Brigade Road,Church Street
26,26,21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,1000,No,No,Continental,Basavanagudi,Jayanagar
27,27,24 Carats - The Capitol,Casual Dining,3.1,46,1000,No,No,"Asian, Continental",Brigade Road,Cunningham Road
28,28,24 Hours Cake Delivery,Delivery,3.3,4,700,No,No,Bakery,Indiranagar,Old Airport Road
29,29,24 Hours Coffee Drop - La Classic,Cafe,3.4,9,800,No,No,Cafe,Electronic City,Electronic City
30,30,24/7 - The Lalit Ashok Bangalore,Fine Dining,4,344,3000,No,Yes,"Continental, North Indian, Italian, Chinese",Malleshwaram,Seshadripuram
31,31,24/7 Food Service,"Takeaway, Delivery",2.9,7,300,Yes,No,"South Indian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",JP Nagar
32,32,24@43 - The Oterra,Fine Dining,4.1,268,3000,No,Yes,"North Indian, Asian, Continental",Electronic City,Electronic City
33,33,24th Main,Casual Dining,4.1,1234,800,No,Yes,"North Indian, South Indian, Chinese",Bannerghatta Road,JP Nagar
34,34,29 Degrees North,Quick Bites,3.9,283,250,Yes,No,"North Indian, Fast Food, Street Food",Kalyan Nagar,Banaswadi
35,35,2nd Home Restaurant,Quick Bites,3.7,21,500,Yes,No,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM
36,36,3 Leafs,Casual Dining,3.7,128,600,Yes,No,"North Indian, South Indian, Chinese",Marathahalli,Kaggadasapura
37,37,3 Spice,Casual Dining,3.9,156,450,Yes,No,"North Indian, Chinese",Koramangala 7th Block,Wilson Garden
38,38,30 Square,Quick Bites,4.2,556,400,Yes,No,"Tibetan, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
39,39,360 Atoms Restaurant And Cafe,Cafe,3.1,13,400,Yes,No,"Cafe, Chinese, Continental, Italian",Banashankari,Banashankari
40,40,36th Cross Coffee Mane,Casual Dining,3.7,29,500,No,No,"North Indian, Chinese",JP Nagar,BTM
41,41,37 China Town,Casual Dining,3.5,58,900,No,No,"Chinese, Thai, North Indian, South Indian, Continental",Lavelle Road,Race Course Road
42,42,"3B's - Buddies, Bar & Barbecues","Casual Dining, Bar",4.4,1149,1100,No,Yes,"North Indian, Mediterranean, European, BBQ","Byresandra,Tavarekere,Madiwala",BTM
43,43,3G's - Gulp & Groove,"Bar, Casual Dining",4.1,662,1100,Yes,Yes,"Finger Food, Continental, Chinese",Malleshwaram,Malleshwaram
44,44,3rd Innings,"Casual Dining, Bar",3,17,1000,No,No,"Burger, Italian, North Indian, Chinese",Electronic City,Electronic City
45,45,4 Mangoes,Kiosk,3.7,14,200,No,No,Ice Cream,Indiranagar,Old Airport Road
46,46,4 Seasons Restaurant,Casual Dining,3.7,399,1000,Yes,Yes,"North Indian, Seafood, Middle Eastern, Chinese",Kalyan Nagar,Kalyan Nagar
47,47,4 States,Food Court,3.2,4,400,No,No,South Indian,Sarjapur Road,Bellandur
48,48,46 Ounces Brewgarden,Microbrewery,2.8,40,1600,No,Yes,"Bar Food, Finger Food, Pizza",Electronic City,Electronic City
49,49,4700BC Popcorn,"Takeaway, Delivery",4.1,55,500,No,No,Fast Food,Whitefield,Whitefield
50,50,4Foodiez,Quick Bites,3.6,82,300,Yes,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City
51,51,4Foodiez - The Restaurant,Quick Bites,3,23,400,No,No,"Street Food, Chinese, North Indian, South Indian",Electronic City,Electronic City
52,52,4K Biryani,Delivery,3.3,4,700,Yes,No,"North Indian, Chinese",HSR,HSR
53,53,4th Tea Block,Cafe,4,62,150,No,No,Cafe,Basavanagudi,Jayanagar
54,54,5 Star Food,Quick Bites,2.8,40,300,Yes,No,"South Indian, Fast Food",Frazer Town,Kammanahalli
55,55,50-50 EATING HOUSE,Quick Bites,3.2,4,100,No,No,"South Indian, Biryani",Banashankari,Basavanagudi
56,56,52 Wall Street,"Bar, Casual Dining",3.9,737,1400,No,No,"American, Continental, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
57,57,55 Wall Street,Bar,3.9,1763,1300,No,Yes,"Finger Food, North Indian, Chinese",Bannerghatta Road,JP Nagar
58,58,56 Bhoga Sweets,"Takeaway, Delivery",3.6,51,150,No,No,"Mithai, Street Food",HSR,HSR
59,59,5th Main Cafe,Cafe,3.5,15,250,No,No,"Cafe, Fast Food","Byresandra,Tavarekere,Madiwala",HSR
60,60,7 Days Restaurant,Quick Bites,3.8,478,400,Yes,No,"North Indian, Chinese, Arabian",Electronic City,Electronic City
61,61,7 Degrees North,Casual Dining,3.5,11,500,No,No,North Indian,HSR,HSR
62,62,7 Hills Andhra Mess,Mess,3.4,8,300,No,No,Andhra,Indiranagar,CV Raman Nagar
63,63,7 Plates,Casual Dining,3.5,531,600,Yes,No,"North Indian, Mughlai, Rolls, Fast Food",Kammanahalli,Kalyan Nagar
64,64,7 Shanghai,Quick Bites,3.5,18,250,Yes,No,Chinese,Electronic City,Electronic City
65,65,7 Spice,Quick Bites,3.4,5,250,No,No,"Biryani, Chinese",Kalyan Nagar,Banaswadi
66,66,7 to 11 Food Court,Quick Bites,3.7,16,200,Yes,No,"Fast Food, Burger, North Indian, South Indian",Frazer Town,Banaswadi
67,67,70 Brigade - Iris Hotel,Casual Dining,3.9,105,1000,No,Yes,"Chinese, North Indian, Pizza",Brigade Road,Brigade Road
68,68,7Biryanis,Casual Dining,3.2,4,600,Yes,No,"Andhra, Biryani",Kalyan Nagar,Nagawara
69,69,7th Heaven,Bakery,3.6,17,300,No,No,"Bakery, Desserts",New BEL Road,New BEL Road
70,70,8 Slice,Delivery,3.7,74,600,Yes,No,Pizza,Brigade Road,Koramangala 6th Block
71,71,9 Bowls,Quick Bites,2.8,40,500,Yes,No,"Healthy Food, Continental, North Indian, Chinese",HSR,Koramangala 1st Block
72,72,90's,Quick Bites,2.8,40,200,No,No,North Indian,HSR,HSR
73,73,90's Beer Cafe - Hotel Millennium Plaza,Bar,3,7,1000,No,No,Finger Food,Electronic City,Electronic City
74,74,90's Cafe,Quick Bites,2.8,40,500,No,No,"Fast Food, Burger",Jayanagar,JP Nagar
75,75,99 Caffe,Quick Bites,3.6,106,250,Yes,No,"South Indian, North Indian, Chinese",Brookefield,Brookefield
76,76,99 Pancakes,Dessert Parlor,4.1,41,150,Yes,No,"Desserts, Ice Cream",Brigade Road,Church Street
77,77,99 Variety Dosa & Pav Bhaji,Quick Bites,3.8,16,250,Yes,No,"South Indian, North Indian, Street Food",Koramangala 5th Block,Koramangala 6th Block
78,78,99 Variety Dosa and Pav Bhaji,Quick Bites,4,101,250,Yes,No,"South Indian, North Indian, Street Food","Byresandra,Tavarekere,Madiwala",HSR
79,79,99 Variety Dose-Biryanis-Starters,"Takeaway, Delivery",2.8,40,300,Yes,No,"South Indian, North Indian, Fast Food, Chinese",HSR,HSR
80,80,99Foods,Quick Bites,3.4,32,400,No,No,"Biryani, North Indian, Chinese, Kebab",Marathahalli,Marathahalli
81,81,9D Foods,Quick Bites,4,458,400,Yes,No,"North Indian, Street Food",Brookefield,Marathahalli
82,82,9th Cross Cafe,Cafe,3.6,12,550,No,No,"Cafe, Italian, French",Indiranagar,Jeevan Bhima Nagar
83,83,A 1 Pizza and Food,Delivery,2.8,211,300,Yes,No,"Pizza, Chinese, North Indian",Indiranagar,Old Airport Road
84,84,A Bar,Bar,3.3,19,600,No,No,"North Indian, Continental","Byresandra,Tavarekere,Madiwala",HSR
85,85,A Hole Lotta Love Cafe,Cafe,4.3,2871,600,Yes,No,"Cafe, American, Burger, Sandwich, Beverages",Koramangala 4th Block,Koramangala 5th Block
86,86,A Little For Love,Bakery,3.4,12,350,No,No,Bakery,Kalyan Nagar,Hennur
87,87,A M Biryani Hotel,Quick Bites,3.3,6,300,Yes,No,"North Indian, Chinese, Biryani, Fast Food",Bannerghatta Road,Bannerghatta Road
88,88,A Southern Fair,Casual Dining,3,19,750,Yes,No,"Biryani, Seafood, South Indian",Whitefield,Whitefield
89,89,A Today Thick Shakes,Beverage Shop,3.2,9,200,No,No,Beverages,Jayanagar,Koramangala 5th Block
90,90,A.M New Punjab Food Corner,Quick Bites,3.5,21,350,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
91,91,A1 Ambur Dum Biryani And Parota Centre,Quick Bites,3.2,4,300,No,No,Biryani,Rajajinagar,Basaveshwara Nagar
92,92,A1 Biriyani Point,Quick Bites,3,10,200,No,No,Biryani,Malleshwaram,Seshadripuram
93,93,A1 Garam Masala,Casual Dining,3.6,25,500,Yes,No,"North Indian, Andhra, Chinese",JP Nagar,Kanakapura Road
94,94,A1 Hot Dum Biryani,Quick Bites,3.2,4,150,No,No,Biryani,Whitefield,Whitefield
95,95,A1 Spice Inn,Casual Dining,3.5,46,500,No,No,"Biryani, Chinese, Hyderabadi, North Indian, South Indian",Malleshwaram,Yeshwantpur
96,96,A2B - Adyar Ananda Bhavan,Casual Dining,2.5,544,400,Yes,No,"South Indian, North Indian, Chinese, Street Food, Fast Food",Whitefield,Whitefield
97,97,A2B Veg - Adyar Ananda Bhavan,Casual Dining,2.7,97,400,Yes,No,"South Indian, Fast Food, Street Food",Basavanagudi,Basavanagudi
98,98,A3 Nuwang Kitchen,Quick Bites,3.7,42,300,Yes,No,"Chinese, North Indian",Indiranagar,Ejipura
99,99,Aaccord Restaurant,Casual Dining,2.8,40,600,No,No,"Continental, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM
100,100,Aadhya Hotel,"Casual Dining, Bar",3.3,5,800,Yes,No,"South Indian, North Indian, Chinese, Biryani",Banashankari,Basavanagudi
101,101,Aadvik Nightfood,Delivery,3.6,22,350,Yes,No,Fast Food,Frazer Town,Frazer Town
102,102,Aagaman Veg,Casual Dining,2.8,40,900,Yes,No,"North Indian, Chinese, South Indian",Electronic City,Electronic City
103,103,Aaha,Quick Bites,3.6,93,300,Yes,No,"North Indian, Chinese",Marathahalli,Brookefield
104,104,Aaha Andhra,Casual Dining,3.4,58,900,No,No,"Andhra, Biryani, North Indian",Marathahalli,Marathahalli
105,105,Aahar Cafe,Quick Bites,,40,100,No,No,South Indian,Basavanagudi,Basavanagudi
106,106,Aahar Vihar,Quick Bites,4,68,250,Yes,No,North Indian,Brookefield,Marathahalli
107,107,Aahara Vihar,Quick Bites,3.5,13,300,No,No,"South Indian, North Indian, Chinese",Malleshwaram,Malleshwaram
108,108,Aaharam,Quick Bites,4,65,350,No,No,"Chinese, North Indian",HSR,Koramangala 1st Block
109,109,Aalishan Restaurant & Caterer,Casual Dining,3.5,888,650,Yes,No,"North Indian, Mughlai","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
110,110,Aami Bangali,Casual Dining,3,66,700,Yes,No,Bengali,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
111,111,Aami Kolkata,Delivery,3.3,5,600,No,No,Bengali,Bannerghatta Road,Bannerghatta Road
112,112,Aao G Khao G,Quick Bites,3.5,11,200,Yes,No,"North Indian, Chinese",HSR,HSR
113,113,Aapni Rasoi,Quick Bites,3.2,127,400,Yes,No,North Indian,Bellandur,Bellandur
114,114,Aaranya Restaurant,Casual Dining,3.4,212,800,Yes,No,"North Indian, Chinese, Mughlai","Byresandra,Tavarekere,Madiwala",HSR
115,115,Aarti Paratha & Rolls Corner,Quick Bites,3.6,15,200,Yes,No,"North Indian, Fast Food",New BEL Road,New BEL Road
116,116,Aarya Pork Hotel,Quick Bites,3.3,11,300,No,No,"South Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala",BTM
117,117,Aashirvaad Restaurant,Quick Bites,3.1,249,300,Yes,No,"North Indian, Oriya, Chinese",Brookefield,Marathahalli
118,118,Aashish Foods,Quick Bites,2.7,35,150,Yes,No,North Indian,Brookefield,Brookefield
119,119,Aasife & Brothers Biriyani Centre,Casual Dining,3.8,120,600,Yes,No,"Biryani, North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",HSR
120,120,Aastha Bengali Mess,Quick Bites,3.9,131,250,Yes,No,"Chinese, Bengali",Malleshwaram,Yeshwantpur
121,121,Aata's Kitchen,Quick Bites,2.8,40,250,Yes,No,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
122,122,Aathithya,Casual Dining,3.1,16,1100,No,No,"North Indian, Continental, Chinese",Brigade Road,Infantry Road
123,123,Aathurar,Casual Dining,3.2,574,600,Yes,No,"Chettinad, Biryani, South Indian, Seafood",Indiranagar,Jeevan Bhima Nagar
124,124,Abbabi Chicken,Quick Bites,3.7,134,200,No,No,Fast Food,Sarjapur Road,Bellandur
125,125,ABC Grand,Casual Dining,3.5,54,,No,No,"Andhra, Chinese, North Indian",Old Airport Road,Indiranagar
126,126,Abhiruchi,Casual Dining,3.8,164,650,No,No,"Andhra, Seafood, North Indian, Chinese",Kalyan Nagar,Kammanahalli
127,127,Abhiruchi Andhra Mess,Mess,3.1,61,300,Yes,No,"Andhra, Biryani, South Indian",Whitefield,Whitefield
128,128,Abhiruchi Hotel,Casual Dining,3.2,12,500,Yes,No,"North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Bommanahalli
129,129,Abhiruchi Moonlight,"Takeaway, Delivery",3.3,4,300,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Bommanahalli
130,130,Abhiruchi Restaurant,Casual Dining,3.4,5,400,Yes,No,"Andhra, North Indian, Chinese",Bellandur,Sarjapur Road
131,131,AB's - Absolute Barbecues,Casual Dining,4.6,1502,1400,No,Yes,"European, Mediterranean, North Indian, BBQ",Kalyan Nagar,Kalyan Nagar
132,132,Absolute Chinese,Quick Bites,3.8,209,450,Yes,No,"Chinese, Fast Food, Momos",Malleshwaram,Rajajinagar
133,133,Absolute Shawarma,"Takeaway, Delivery",2.8,40,150,Yes,No,Lebanese,Brookefield,Brookefield
134,134,Absolute Waffles,Dessert Parlor,3.9,49,200,Yes,No,"Desserts, Fast Food",Malleshwaram,New BEL Road
135,135,Aburrahaman,Delivery,2.8,40,400,No,No,"North Indian, South Indian, Chinese",Indiranagar,Thippasandra
136,136,Abzain Paradise,Quick Bites,2.9,42,300,No,No,North Indian,New BEL Road,Sanjay Nagar
137,137,Achayyan's,Quick Bites,3.8,405,350,Yes,No,"Kerala, South Indian",Indiranagar,Indiranagar
138,138,Ackley Kitchen,Quick Bites,3.6,33,500,Yes,No,"Fast Food, Continental, Burger",Marathahalli,Kaggadasapura
139,139,Adarsh Bakery,Bakery,3.1,10,300,No,No,"Bakery, Fast Food",Electronic City,Electronic City
140,140,Adda,Quick Bites,3.3,5,300,No,No,South Indian,Basavanagudi,Shanti Nagar
141,141,Addhuri Udupi Bhojana,Quick Bites,3.7,88,300,No,No,"South Indian, North Indian",Banashankari,Banashankari
142,142,Adiga's,Quick Bites,3.3,55,150,No,No,South Indian,Basavanagudi,Jayanagar
143,143,Adi's Cake N Cafe,Bakery,3.3,4,400,No,No,Bakery,"Byresandra,Tavarekere,Madiwala",Bannerghatta Road
144,144,Adithya,Casual Dining,3.9,178,450,Yes,No,"South Indian, North Indian, Chinese",Bannerghatta Road,JP Nagar
145,145,Adithya Family Restaurant,Quick Bites,3.7,27,250,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",BTM
146,146,Adithya Tiffin Centre,"Takeaway, Delivery",2.8,40,200,No,No,North Indian,Brigade Road,Shanti Nagar
147,147,Adithya Veg,Quick Bites,3.3,10,300,No,No,"South Indian, Chinese",Basavanagudi,Jayanagar
148,148,Aditya Delights,Quick Bites,3.7,59,300,No,No,"Chinese, North Indian, Mangalorean",New BEL Road,New BEL Road
149,149,Aditya Sweets,Sweet Shop,3.7,21,200,Yes,No,"Mithai, Fast Food",Brookefield,Whitefield
150,150,Aditya Uphar,Quick Bites,3.5,30,200,No,No,"South Indian, Chinese, North Indian",JP Nagar,JP Nagar
151,151,Adukkala Restaurant,Casual Dining,2.9,128,600,Yes,No,Kerala,Kammanahalli,Banaswadi
152,152,Adupadi,Quick Bites,2.9,25,450,No,No,"South Indian, Chettinad",Whitefield,Whitefield
153,153,Advika Briyani Center,Delivery,3.2,10,300,No,No,Biryani,JP Nagar,JP Nagar
154,154,Adya Hotel,Quick Bites,3.3,4,400,No,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City
155,155,Adyar Anand Bhavan Sweets,Quick Bites,2.8,40,200,No,No,"South Indian, North Indian, Chinese, Street Food",Electronic City,Electronic City
156,156,Adyar Ananda Bhavan - Sweets,"Takeaway, Delivery",3.4,6,200,Yes,No,"Mithai, Desserts","Byresandra,Tavarekere,Madiwala",BTM
157,157,Adyar Ananda Bhavan Sweets,"Takeaway, Delivery",3.6,4,200,Yes,No,"Mithai, Desserts",JP Nagar,JP Nagar
158,158,Afghani Tandoori Hub,Quick Bites,3.6,14,400,Yes,No,"Arabian, Afghan","Byresandra,Tavarekere,Madiwala",BTM
159,159,Afoozoo - Ginger Hotel,Casual Dining,3.5,40,800,No,No,"North Indian, Chinese",Brookefield,Whitefield
160,160,Afrina's Kitchen,"Takeaway, Delivery",3.4,9,250,Yes,No,"Fast Food, Desserts",Frazer Town,Kammanahalli
161,161,Agarwal Food Service,Delivery,3.5,16,400,Yes,No,"North Indian, Chinese, Biryani",HSR,HSR
162,162,Agent Jack's Bar,Bar,4,377,1300,No,Yes,"Continental, North Indian, Italian",Kalyan Nagar,Kalyan Nagar
163,163,Agraharaa,Quick Bites,2.8,40,150,No,No,South Indian,Koramangala 4th Block,Koramangala 6th Block
164,164,Agraharam Meal,"Takeaway, Delivery",3.7,61,300,No,No,"North Indian, South Indian",Marathahalli,Kaggadasapura
165,165,Aha Juice Bar,Beverage Shop,3.6,13,200,No,No,"Beverages, Fast Food",Bannerghatta Road,BTM
166,166,Ahaan Restaurant,Delivery,2.8,76,300,Yes,No,"North Indian, Chinese",Frazer Town,RT Nagar
167,167,AhimsaAmrit Green Cafe,Casual Dining,3.4,9,800,No,No,"Healthy Food, Salad, Continental",Indiranagar,Indiranagar
168,168,Ahmad's Chicken Hut,Quick Bites,3.2,9,200,No,No,"North Indian, Chinese",Kalyan Nagar,Banaswadi
169,169,Ahmed's Little Hut,Quick Bites,2.8,40,250,Yes,No,Fast Food,Bannerghatta Road,BTM
170,170,Ahmeds Takeaway Restaurant,"Takeaway, Delivery",2.8,40,250,No,No,"North Indian, Chinese",Frazer Town,Frazer Town
171,171,Aioli,Casual Dining,4.2,783,1400,No,Yes,"Mediterranean, Continental, Italian, Salad",Kalyan Nagar,Kalyan Nagar
172,172,Airlines Hotel,Quick Bites,4,867,400,Yes,No,"South Indian, North Indian, Street Food",Brigade Road,Lavelle Road
173,173,Aisha Tharavad,Quick Bites,,40,400,No,No,"South Indian, Kerala",Koramangala 6th Block,Ejipura
174,174,Aishwarya,Dhaba,3.3,6,450,No,No,"Chinese, North Indian",Whitefield,Whitefield
175,175,Aishwarya Parkland,Casual Dining,2.9,59,500,No,No,"Chinese, North Indian",Bannerghatta Road,Bannerghatta Road
176,176,Aishwarya Sweets,Sweet Shop,3.6,24,250,Yes,No,"Mithai, Street Food",Malleshwaram,Rajajinagar
177,177,Aishwarya Uphar,Quick Bites,2.8,40,150,No,No,"South Indian, North Indian",Brigade Road,Ulsoor
178,178,Ajwa Thalassery Biryani,Quick Bites,3.9,42,500,Yes,Yes,"Biryani, South Indian",Bellandur,Sarjapur Road
179,179,Akkad Bakkad,Casual Dining,3.9,72,600,Yes,Yes,"North Indian, Chinese",Electronic City,Electronic City
180,180,AKS Family Dhaba And Restaurant,Quick Bites,3.6,40,500,Yes,No,"North Indian, Mughlai, South Indian",Marathahalli,Marathahalli
181,181,Akshara,Casual Dining,3.8,42,700,Yes,No,"North Indian, South Indian, Chinese",Electronic City,Electronic City
182,182,Akshatha Nati Style,Quick Bites,3.7,20,500,No,No,"South Indian, Chinese, North Indian",Rajajinagar,Vijay Nagar
183,183,Akshaya Bar And Restaurant,"Casual Dining, Bar",2.8,40,600,Yes,No,"North Indian, South Indian, Chinese, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
184,184,AKSHAYA BIRYANI,Quick Bites,3.6,20,300,Yes,No,"Biryani, North Indian",Bellandur,Sarjapur Road
185,185,Akshaya Deluxe,Casual Dining,4,336,500,Yes,No,"North Indian, Chinese, Seafood, Biryani",New BEL Road,New BEL Road
186,186,Akshaya Donne Biriyani,Quick Bites,3,39,300,Yes,No,"Biryani, South Indian, Kebab",JP Nagar,JP Nagar
187,187,Akshaya Family Restaurant,Quick Bites,3.2,4,150,Yes,No,"South Indian, North Indian",Kalyan Nagar,Banaswadi
188,188,Akshaya Grand,Casual Dining,3.4,29,750,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
189,189,Akshaya Sambrama Veg Restaurant,Quick Bites,3.2,13,200,No,No,"South Indian, Chinese",Church Street,Vasanth Nagar
190,190,Akss - India Reimagined,Casual Dining,4.2,258,1800,No,Yes,"Modern Indian, North Indian",Malleshwaram,Sadashiv Nagar
191,191,Al Amal Cafe,"Cafe, Quick Bites",4,74,300,No,No,"Cafe, Fast Food",Kalyan Nagar,Kammanahalli
192,192,Al Amanah Cafe,Quick Bites,4.4,1413,300,Yes,No,"Middle Eastern, Fast Food, Rolls",Frazer Town,Kammanahalli
193,193,Al Ameen Rolls Corner,Quick Bites,3.7,16,200,No,No,Rolls,Kalyan Nagar,Kammanahalli
194,194,Al Barack Cafetaria,Quick Bites,3.6,20,300,No,No,Arabian,Kalyan Nagar,Banaswadi
195,195,Al Daaz,Casual Dining,4.2,567,550,Yes,No,"North Indian, Continental, BBQ",Bellandur,HSR
196,196,Al Diwan Biryanis And More,"Takeaway, Delivery",3.2,12,300,Yes,No,Biryani,Jayanagar,Basavanagudi
197,197,Al Ghani Resetaurant,Quick Bites,3.3,4,400,No,No,"Mughlai, Biryani",Kammanahalli,Kammanahalli
198,198,Al Habibi Restaurant,Quick Bites,3.5,17,300,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM
199,199,Al Hayath,Quick Bites,3.5,16,200,No,No,"North Indian, Chinese",Koramangala 5th Block,BTM
200,200,Al Hayath Ambur Biryani,Quick Bites,3.3,9,200,No,No,Biryani,Koramangala 4th Block,Ejipura
201,201,Al Karim,Casual Dining,3.7,90,,No,No,"Mughlai, North Indian, Biryani, Chinese",Kammanahalli,Kalyan Nagar
202,202,Al Khaleej Snacks Corner,Quick Bites,2.8,40,200,No,No,"Lebanese, Fast Food, Beverages",Basavanagudi,Jayanagar
203,203,Al Khansah,Casual Dining,3.9,370,550,Yes,No,"Biryani, Mughlai, Chinese, North Indian, Kebab",Bellandur,Bellandur
204,204,Al Khwaja,Casual Dining,3,13,400,No,No,"North Indian, Chinese",Bellandur,Bellandur
205,205,Al Madhina Roll House,Quick Bites,3.4,6,300,No,No,"North Indian, Chinese",Kammanahalli,Kalyan Nagar
206,206,Al Madina Family Restaurant,Quick Bites,2.8,40,500,No,No,"North Indian, South Indian, Arabian",Basavanagudi,City Market
207,207,Al Madina Roll House,Quick Bites,3.6,16,150,Yes,No,Biryani,Kalyan Nagar,Kalyan Nagar
208,208,Al Manar,Quick Bites,2.8,40,400,No,No,"South Indian, North Indian, Chinese",Koramangala 7th Block,Wilson Garden
209,209,Al Noor,Quick Bites,3.7,21,350,No,No,"North Indian, Chinese, Arabian, Rolls",Brigade Road,Shivajinagar
210,210,Al Sadique,Quick Bites,3.9,185,450,Yes,No,"North Indian, Mughlai, Chinese, Rolls",Rajajinagar,Magadi Road
211,211,Al Sadique Restaurant,Quick Bites,3.4,32,350,No,No,"Mughlai, North Indian, Street Food",MG Road,Frazer Town
212,212,Al Swaad Take Away,Quick Bites,3.1,12,350,Yes,No,"North Indian, South Indian, Arabian",Brigade Road,Richmond Road
213,213,Al Taj Fast Food,Quick Bites,3.2,4,600,Yes,No,"Fast Food, North Indian, South Indian, Chinese",Rajajinagar,Vijay Nagar
